[2026-01-29 11:33:01] ENCRYPTED_URL - Module: seguridad, Controller: usuario, Action: index - IP: ::1 - User: superadmin
[2026-01-29 11:33:54] ENCRYPTED_URL - Module: seguridad, Controller: dashboard, Action: index - IP: ::1 - User: superadmin
[2026-01-29 11:33:56] ENCRYPTED_URL - Module: seguridad, Controller: tenant, Action: index - IP: ::1 - User: superadmin
[2026-01-29 11:33:58] ENCRYPTED_URL - Module: seguridad, Controller: tenant, Action: crear - IP: ::1 - User: superadmin
[2026-01-29 11:34:01] ENCRYPTED_URL - Module: seguridad, Controller: tenant, Action: suscripciones - IP: ::1 - User: superadmin
[2026-01-29 11:34:02] ENCRYPTED_URL - Module: seguridad, Controller: tenant, Action: renovar - IP: ::1 - User: superadmin
[2026-01-29 11:34:04] ENCRYPTED_URL - Module: seguridad, Controller: tenant, Action: reactivar - IP: ::1 - User: superadmin
[2026-01-29 11:34:06] ENCRYPTED_URL - Module: seguridad, Controller: tenant, Action: suspender - IP: ::1 - User: superadmin
[2026-01-29 11:34:08] ENCRYPTED_URL - Module: seguridad, Controller: tenant, Action: crear - IP: ::1 - User: superadmin
[2026-01-29 11:34:09] ENCRYPTED_URL - Module: seguridad, Controller: tenant, Action: index - IP: ::1 - User: superadmin
[2026-01-29 11:34:11] ENCRYPTED_URL - Module: seguridad, Controller: usuario, Action: index - IP: ::1 - User: superadmin
[2026-01-29 11:34:42] ENCRYPTED_URL - Module: core, Controller: hub, Action: index - IP: ::1 - User: superadmin
[2026-01-29 11:34:44] ENCRYPTED_URL - Module: core, Controller: hub, Action: acceder - IP: ::1 - User: superadmin
[2026-01-29 11:34:45] ENCRYPTED_URL - Module: seguridad, Controller: dashboard, Action: index - IP: ::1 - User: superadmin
[2026-01-29 11:34:49] ENCRYPTED_URL - Module: seguridad, Controller: usuario, Action: index - IP: ::1 - User: superadmin
[2026-01-29 11:36:05] ENCRYPTED_URL - Module: seguridad, Controller: usuario, Action: index - IP: ::1 - User: superadmin
[2026-01-29 11:36:14] ENCRYPTED_URL - Module: seguridad, Controller: usuario, Action: crear - IP: ::1 - User: superadmin
[2026-01-29 11:36:24] ENCRYPTED_URL - Module: seguridad, Controller: usuario, Action: editar - IP: ::1 - User: superadmin
[2026-01-29 11:36:30] ENCRYPTED_URL - Module: seguridad, Controller: usuario, Action: index - IP: ::1 - User: superadmin
[2026-01-29 11:36:32] ENCRYPTED_URL - Module: seguridad, Controller: usuario, Action: editar - IP: ::1 - User: superadmin
[2026-01-29 11:36:43] ENCRYPTED_URL - Module: seguridad, Controller: usuario, Action: index - IP: ::1 - User: superadmin
[2026-01-29 11:36:45] ENCRYPTED_URL - Module: seguridad, Controller: tenant, Action: index - IP: ::1 - User: superadmin
[2026-01-29 11:36:47] ENCRYPTED_URL - Module: seguridad, Controller: dashboard, Action: index - IP: ::1 - User: superadmin
[2026-01-29 11:36:49] ENCRYPTED_URL - Module: seguridad, Controller: usuario, Action: index - IP: ::1 - User: superadmin
[2026-01-29 11:37:25] ENCRYPTED_URL - Module: seguridad, Controller: usuario, Action: index - IP: ::1 - User: superadmin
[2026-01-29 11:37:28] ENCRYPTED_URL - Module: seguridad, Controller: usuario, Action: crear - IP: ::1 - User: superadmin
[2026-01-29 11:37:30] ENCRYPTED_URL - Module: seguridad, Controller: usuario, Action: index - IP: ::1 - User: superadmin
[2026-01-29 11:37:34] ENCRYPTED_URL - Module: seguridad, Controller: usuario, Action: resetPassword - IP: ::1 - User: superadmin
[2026-01-29 11:37:38] ENCRYPTED_URL - Module: seguridad, Controller: usuario, Action: bloqueados - IP: ::1 - User: superadmin
[2026-01-29 11:37:40] ENCRYPTED_URL - Module: seguridad, Controller: usuario, Action: index - IP: ::1 - User: superadmin
[2026-01-29 11:44:19] ENCRYPTED_URL - Module: seguridad, Controller: usuario, Action: index - IP: ::1 - User: superadmin
[2026-01-29 11:44:22] ENCRYPTED_URL - Module: seguridad, Controller: usuario, Action: editar - IP: ::1 - User: superadmin
[2026-01-29 11:44:27] ENCRYPTED_URL - Module: seguridad, Controller: usuario, Action: index - IP: ::1 - User: superadmin
[2026-01-29 11:44:29] ENCRYPTED_URL - Module: seguridad, Controller: usuario, Action: index - IP: ::1 - User: superadmin
[2026-01-29 11:45:36] ENCRYPTED_URL - Module: seguridad, Controller: usuario, Action: editar - IP: ::1 - User: superadmin
[2026-01-29 11:46:16] ENCRYPTED_URL - Module: seguridad, Controller: usuario, Action: editar - IP: ::1 - User: superadmin
[2026-01-29 11:47:33] ENCRYPTED_URL - Module: seguridad, Controller: usuario, Action: editar - IP: ::1 - User: superadmin
[2026-01-29 11:48:02] ENCRYPTED_URL - Module: seguridad, Controller: usuario, Action: editar - IP: ::1 - User: superadmin
[2026-01-29 11:48:05] ENCRYPTED_URL - Module: seguridad, Controller: usuario, Action: editar - IP: ::1 - User: superadmin
[2026-01-29 11:48:21] ENCRYPTED_URL - Module: seguridad, Controller: usuario, Action: index - IP: ::1 - User: superadmin
[2026-01-29 11:48:24] ENCRYPTED_URL - Module: seguridad, Controller: tenant, Action: index - IP: ::1 - User: superadmin
[2026-01-29 11:48:26] ENCRYPTED_URL - Module: seguridad, Controller: tenant, Action: index - IP: ::1 - User: superadmin
[2026-01-29 11:48:27] ENCRYPTED_URL - Module: seguridad, Controller: tenant, Action: editar - IP: ::1 - User: superadmin
[2026-01-29 11:48:31] ENCRYPTED_URL - Module: seguridad, Controller: tenant, Action: index - IP: ::1 - User: superadmin
[2026-01-29 11:48:37] ENCRYPTED_URL - Module: seguridad, Controller: tenant, Action: editar - IP: ::1 - User: superadmin
[2026-01-29 11:48:44] ENCRYPTED_URL - Module: seguridad, Controller: tenant, Action: index - IP: ::1 - User: superadmin
[2026-01-29 11:48:56] ENCRYPTED_URL - Module: seguridad, Controller: tenant, Action: index - IP: ::1 - User: superadmin
[2026-01-29 11:48:59] ENCRYPTED_URL - Module: seguridad, Controller: usuario, Action: index - IP: ::1 - User: superadmin
[2026-01-29 11:49:10] ENCRYPTED_URL - Module: seguridad, Controller: usuario, Action: crear - IP: ::1 - User: superadmin
[2026-01-29 11:49:14] ENCRYPTED_URL - Module: seguridad, Controller: usuario, Action: index - IP: ::1 - User: superadmin
[2026-01-29 11:49:17] ENCRYPTED_URL - Module: seguridad, Controller: usuario, Action: editar - IP: ::1 - User: superadmin
[2026-01-29 11:50:28] ENCRYPTED_URL - Module: seguridad, Controller: usuario, Action: editar - IP: ::1 - User: superadmin
[2026-01-29 11:50:30] ENCRYPTED_URL - Module: seguridad, Controller: usuario, Action: index - IP: ::1 - User: superadmin
[2026-01-29 11:50:35] ENCRYPTED_URL - Module: seguridad, Controller: usuario, Action: editar - IP: ::1 - User: superadmin
[2026-01-29 11:51:02] ENCRYPTED_URL - Module: seguridad, Controller: usuario, Action: editar - IP: ::1 - User: superadmin
[2026-01-29 11:51:58] ENCRYPTED_URL - Module: seguridad, Controller: usuario, Action: editar - IP: ::1 - User: superadmin
