[2026-01-30 00:27:39] ENCRYPTED_URL - Module: seguridad, Controller: modulo, Action: iconos - IP: ::1 - User: superadmin
[2026-01-30 00:27:51] ENCRYPTED_URL - Module: seguridad, Controller: modulo, Action: actualizarIcono - IP: ::1 - User: superadmin
[2026-01-30 00:27:53] ENCRYPTED_URL - Module: seguridad, Controller: modulo, Action: iconos - IP: ::1 - User: superadmin
[2026-01-30 00:28:13] ENCRYPTED_URL - Module: seguridad, Controller: modulo, Action: index - IP: ::1 - User: superadmin
[2026-01-30 00:28:18] ENCRYPTED_URL - Module: seguridad, Controller: modulo, Action: editar - IP: ::1 - User: superadmin
[2026-01-30 00:29:13] ENCRYPTED_URL - Module: seguridad, Controller: modulo, Action: editar - IP: ::1 - User: superadmin
[2026-01-30 00:29:13] ENCRYPTED_URL - Module: seguridad, Controller: modulo, Action: index - IP: ::1 - User: superadmin
[2026-01-30 00:29:21] ENCRYPTED_URL - Module: seguridad, Controller: modulo, Action: editar - IP: ::1 - User: superadmin
[2026-01-30 01:26:58] ENCRYPTED_URL - Module: seguridad, Controller: modulo, Action: editar - IP: ::1 - User: superadmin
[2026-01-30 01:27:12] ENCRYPTED_URL - Module: seguridad, Controller: modulo, Action: editar - IP: ::1 - User: superadmin
[2026-01-30 01:27:13] ENCRYPTED_URL - Module: seguridad, Controller: modulo, Action: index - IP: ::1 - User: superadmin
[2026-01-30 01:27:18] ENCRYPTED_URL - Module: seguridad, Controller: modulo, Action: editar - IP: ::1 - User: superadmin
[2026-01-30 01:27:24] ENCRYPTED_URL - Module: seguridad, Controller: modulo, Action: editar - IP: ::1 - User: superadmin
[2026-01-30 01:27:24] ENCRYPTED_URL - Module: seguridad, Controller: modulo, Action: index - IP: ::1 - User: superadmin
[2026-01-30 01:27:29] ENCRYPTED_URL - Module: seguridad, Controller: modulo, Action: editar - IP: ::1 - User: superadmin
[2026-01-30 01:27:38] ENCRYPTED_URL - Module: seguridad, Controller: modulo, Action: editar - IP: ::1 - User: superadmin
[2026-01-30 01:27:38] ENCRYPTED_URL - Module: seguridad, Controller: modulo, Action: index - IP: ::1 - User: superadmin
[2026-01-30 01:28:39] ENCRYPTED_URL - Module: seguridad, Controller: modulo, Action: editar - IP: ::1 - User: superadmin
[2026-01-30 01:28:46] ENCRYPTED_URL - Module: seguridad, Controller: modulo, Action: editar - IP: ::1 - User: superadmin
[2026-01-30 01:28:46] ENCRYPTED_URL - Module: seguridad, Controller: modulo, Action: index - IP: ::1 - User: superadmin
[2026-01-30 01:28:50] ENCRYPTED_URL - Module: core, Controller: hub, Action: index - IP: ::1 - User: superadmin
[2026-01-30 01:28:54] ENCRYPTED_URL - Module: core, Controller: hub, Action: acceder - IP: ::1 - User: superadmin
[2026-01-30 01:28:55] ENCRYPTED_URL - Module: futbol, Controller: dashboard, Action: index - IP: ::1 - User: superadmin
[2026-01-30 01:29:04] ENCRYPTED_URL - Module: core, Controller: hub, Action: index - IP: ::1 - User: superadmin
[2026-01-30 01:29:07] ENCRYPTED_URL - Module: core, Controller: hub, Action: acceder - IP: ::1 - User: superadmin
[2026-01-30 01:29:08] ENCRYPTED_URL - Module: seguridad, Controller: dashboard, Action: index - IP: ::1 - User: superadmin
[2026-01-30 01:29:11] ENCRYPTED_URL - Module: seguridad, Controller: tenant, Action: index - IP: ::1 - User: superadmin
[2026-01-30 01:29:12] ENCRYPTED_URL - Module: seguridad, Controller: tenant, Action: crear - IP: ::1 - User: superadmin
[2026-01-30 01:29:14] ENCRYPTED_URL - Module: seguridad, Controller: tenant, Action: suspender - IP: ::1 - User: superadmin
[2026-01-30 01:29:15] ENCRYPTED_URL - Module: seguridad, Controller: tenant, Action: reactivar - IP: ::1 - User: superadmin
[2026-01-30 01:29:20] ENCRYPTED_URL - Module: core, Controller: hub, Action: index - IP: ::1 - User: superadmin
[2026-01-30 01:29:25] ENCRYPTED_URL - Module: core, Controller: hub, Action: acceder - IP: ::1 - User: superadmin
[2026-01-30 01:29:26] ENCRYPTED_URL - Module: futbol, Controller: dashboard, Action: index - IP: ::1 - User: superadmin
[2026-01-30 01:29:31] ENCRYPTED_URL - Module: core, Controller: hub, Action: index - IP: ::1 - User: superadmin
[2026-01-30 01:29:36] ENCRYPTED_URL - Module: core, Controller: hub, Action: acceder - IP: ::1 - User: superadmin
[2026-01-30 01:29:36] ENCRYPTED_URL - Module: seguridad, Controller: dashboard, Action: index - IP: ::1 - User: superadmin
[2026-01-30 01:29:47] ENCRYPTED_URL - Module: seguridad, Controller: modulo, Action: index - IP: ::1 - User: superadmin
[2026-01-30 01:29:51] ENCRYPTED_URL - Module: seguridad, Controller: modulo, Action: editar - IP: ::1 - User: superadmin
[2026-01-30 01:29:56] ENCRYPTED_URL - Module: seguridad, Controller: modulo, Action: editar - IP: ::1 - User: superadmin
[2026-01-30 01:29:56] ENCRYPTED_URL - Module: seguridad, Controller: modulo, Action: index - IP: ::1 - User: superadmin
[2026-01-30 01:30:04] ENCRYPTED_URL - Module: core, Controller: hub, Action: index - IP: ::1 - User: superadmin
[2026-01-30 01:30:11] ENCRYPTED_URL - Module: core, Controller: hub, Action: acceder - IP: ::1 - User: superadmin
[2026-01-30 01:30:12] ENCRYPTED_URL - Module: artes_marciales, Controller: dashboard, Action: index - IP: ::1 - User: superadmin
[2026-01-30 01:30:24] ENCRYPTED_URL - Module: core, Controller: hub, Action: acceder - IP: ::1 - User: superadmin
[2026-01-30 01:30:25] ENCRYPTED_URL - Module: seguridad, Controller: dashboard, Action: index - IP: ::1 - User: superadmin
[2026-01-30 01:30:35] ENCRYPTED_URL - Module: seguridad, Controller: modulo, Action: index - IP: ::1 - User: superadmin
[2026-01-30 01:30:42] ENCRYPTED_URL - Module: seguridad, Controller: modulo, Action: editar - IP: ::1 - User: superadmin
[2026-01-30 01:31:17] ENCRYPTED_URL - Module: seguridad, Controller: modulo, Action: editar - IP: ::1 - User: superadmin
[2026-01-30 01:31:18] ENCRYPTED_URL - Module: seguridad, Controller: modulo, Action: index - IP: ::1 - User: superadmin
[2026-01-30 01:31:21] ENCRYPTED_URL - Module: core, Controller: hub, Action: index - IP: ::1 - User: superadmin
[2026-01-30 01:31:25] ENCRYPTED_URL - Module: core, Controller: hub, Action: acceder - IP: ::1 - User: superadmin
[2026-01-30 01:31:26] ENCRYPTED_URL - Module: artes_marciales, Controller: dashboard, Action: index - IP: ::1 - User: superadmin
[2026-01-30 08:30:45] GET_PARAMS - Module: core, Controller: Auth, Action: login - IP: ::1 - User: Guest
[2026-01-30 12:29:12] GET_PARAMS - Module: core, Controller: Auth, Action: login - IP: ::1 - User: Guest
[2026-01-30 12:29:24] ENCRYPTED_URL - Module: core, Controller: auth, Action: authenticate - IP: ::1 - User: Guest
[2026-01-30 12:29:25] ENCRYPTED_URL - Module: core, Controller: hub, Action: index - IP: ::1 - User: superadmin
[2026-01-30 12:29:29] ENCRYPTED_URL - Module: core, Controller: hub, Action: acceder - IP: ::1 - User: superadmin
[2026-01-30 12:29:30] ENCRYPTED_URL - Module: seguridad, Controller: dashboard, Action: index - IP: ::1 - User: superadmin
[2026-01-30 12:29:39] ENCRYPTED_URL - Module: seguridad, Controller: modulo, Action: index - IP: ::1 - User: superadmin
[2026-01-30 12:29:46] ENCRYPTED_URL - Module: seguridad, Controller: modulo, Action: editar - IP: ::1 - User: superadmin
[2026-01-30 12:31:21] ENCRYPTED_URL - Module: seguridad, Controller: modulo, Action: index - IP: ::1 - User: superadmin
[2026-01-30 12:31:25] ENCRYPTED_URL - Module: seguridad, Controller: modulo, Action: editar - IP: ::1 - User: superadmin
[2026-01-30 12:31:30] ENCRYPTED_URL - Module: seguridad, Controller: modulo, Action: editar - IP: ::1 - User: superadmin
[2026-01-30 12:31:31] ENCRYPTED_URL - Module: seguridad, Controller: modulo, Action: index - IP: ::1 - User: superadmin
[2026-01-30 12:31:36] ENCRYPTED_URL - Module: seguridad, Controller: modulo, Action: editar - IP: ::1 - User: superadmin
[2026-01-30 12:31:43] ENCRYPTED_URL - Module: seguridad, Controller: modulo, Action: editar - IP: ::1 - User: superadmin
[2026-01-30 12:31:43] ENCRYPTED_URL - Module: seguridad, Controller: modulo, Action: index - IP: ::1 - User: superadmin
[2026-01-30 12:55:10] ENCRYPTED_URL - Module: seguridad, Controller: modulo, Action: editar - IP: ::1 - User: superadmin
[2026-01-30 12:55:18] ENCRYPTED_URL - Module: seguridad, Controller: modulo, Action: editar - IP: ::1 - User: superadmin
[2026-01-30 12:55:18] ENCRYPTED_URL - Module: seguridad, Controller: modulo, Action: index - IP: ::1 - User: superadmin
[2026-01-30 12:55:21] ENCRYPTED_URL - Module: core, Controller: hub, Action: index - IP: ::1 - User: superadmin
[2026-01-30 12:55:26] ENCRYPTED_URL - Module: core, Controller: hub, Action: acceder - IP: ::1 - User: superadmin
[2026-01-30 12:55:26] ENCRYPTED_URL - Module: artes_marciales, Controller: dashboard, Action: index - IP: ::1 - User: superadmin
[2026-01-30 12:55:31] ENCRYPTED_URL - Module: core, Controller: hub, Action: index - IP: ::1 - User: superadmin
[2026-01-30 12:55:35] ENCRYPTED_URL - Module: core, Controller: hub, Action: acceder - IP: ::1 - User: superadmin
[2026-01-30 12:55:36] ENCRYPTED_URL - Module: seguridad, Controller: dashboard, Action: index - IP: ::1 - User: superadmin
[2026-01-30 12:55:38] ENCRYPTED_URL - Module: seguridad, Controller: modulo, Action: index - IP: ::1 - User: superadmin
[2026-01-30 12:55:43] ENCRYPTED_URL - Module: seguridad, Controller: modulo, Action: editar - IP: ::1 - User: superadmin
[2026-01-30 12:55:47] ENCRYPTED_URL - Module: seguridad, Controller: modulo, Action: editar - IP: ::1 - User: superadmin
[2026-01-30 12:55:47] ENCRYPTED_URL - Module: seguridad, Controller: modulo, Action: index - IP: ::1 - User: superadmin
[2026-01-30 12:55:48] ENCRYPTED_URL - Module: seguridad, Controller: modulo, Action: editar - IP: ::1 - User: superadmin
[2026-01-30 12:55:48] ENCRYPTED_URL - Module: seguridad, Controller: modulo, Action: index - IP: ::1 - User: superadmin
[2026-01-30 12:55:55] ENCRYPTED_URL - Module: core, Controller: hub, Action: index - IP: ::1 - User: superadmin
[2026-01-30 12:55:58] ENCRYPTED_URL - Module: core, Controller: hub, Action: acceder - IP: ::1 - User: superadmin
[2026-01-30 12:55:58] ENCRYPTED_URL - Module: artes_marciales, Controller: dashboard, Action: index - IP: ::1 - User: superadmin
[2026-01-30 13:00:49] ENCRYPTED_URL - Module: artes_marciales, Controller: dashboard, Action: index - IP: ::1 - User: superadmin
[2026-01-30 13:00:55] ENCRYPTED_URL - Module: artes_marciales, Controller: dashboard, Action: index - IP: ::1 - User: superadmin
[2026-01-30 14:20:22] GET_PARAMS - Module: core, Controller: Auth, Action: login - IP: ::1 - User: Guest
[2026-01-30 14:20:37] ENCRYPTED_URL - Module: core, Controller: auth, Action: authenticate - IP: ::1 - User: Guest
[2026-01-30 14:20:38] ENCRYPTED_URL - Module: core, Controller: hub, Action: index - IP: ::1 - User: superadmin
[2026-01-30 14:20:43] ENCRYPTED_URL - Module: core, Controller: hub, Action: acceder - IP: ::1 - User: superadmin
[2026-01-30 14:20:44] ENCRYPTED_URL - Module: artes_marciales, Controller: dashboard, Action: index - IP: ::1 - User: superadmin
[2026-01-30 14:20:54] ENCRYPTED_URL - Module: artes_marciales, Controller: dashboard, Action: index - IP: ::1 - User: superadmin
[2026-01-30 14:20:56] ENCRYPTED_URL - Module: core, Controller: hub, Action: index - IP: ::1 - User: superadmin
[2026-01-30 14:20:59] ENCRYPTED_URL - Module: core, Controller: hub, Action: acceder - IP: ::1 - User: superadmin
[2026-01-30 14:21:00] ENCRYPTED_URL - Module: seguridad, Controller: dashboard, Action: index - IP: ::1 - User: superadmin
[2026-01-30 14:21:05] ENCRYPTED_URL - Module: seguridad, Controller: modulo, Action: index - IP: ::1 - User: superadmin
[2026-01-30 14:21:10] ENCRYPTED_URL - Module: seguridad, Controller: modulo, Action: editar - IP: ::1 - User: superadmin
[2026-01-30 14:21:17] ENCRYPTED_URL - Module: seguridad, Controller: modulo, Action: editar - IP: ::1 - User: superadmin
[2026-01-30 14:21:19] ENCRYPTED_URL - Module: seguridad, Controller: modulo, Action: index - IP: ::1 - User: superadmin
[2026-01-30 14:21:27] ENCRYPTED_URL - Module: seguridad, Controller: modulo, Action: editar - IP: ::1 - User: superadmin
[2026-01-30 14:21:35] ENCRYPTED_URL - Module: seguridad, Controller: modulo, Action: editar - IP: ::1 - User: superadmin
[2026-01-30 14:21:36] ENCRYPTED_URL - Module: seguridad, Controller: modulo, Action: index - IP: ::1 - User: superadmin
[2026-01-30 14:21:39] ENCRYPTED_URL - Module: artes_marciales, Controller: dashboard, Action: index - IP: ::1 - User: superadmin
[2026-01-30 14:21:56] ENCRYPTED_URL - Module: seguridad, Controller: modulo, Action: editar - IP: ::1 - User: superadmin
[2026-01-30 14:21:59] ENCRYPTED_URL - Module: core, Controller: hub, Action: index - IP: ::1 - User: superadmin
[2026-01-30 14:22:02] ENCRYPTED_URL - Module: core, Controller: hub, Action: acceder - IP: ::1 - User: superadmin
[2026-01-30 14:22:03] ENCRYPTED_URL - Module: store, Controller: dashboard, Action: index - IP: ::1 - User: superadmin
[2026-01-30 14:22:15] ENCRYPTED_URL - Module: seguridad, Controller: modulo, Action: editar - IP: ::1 - User: superadmin
[2026-01-30 14:22:16] ENCRYPTED_URL - Module: seguridad, Controller: modulo, Action: index - IP: ::1 - User: superadmin
[2026-01-30 14:22:20] ENCRYPTED_URL - Module: store, Controller: dashboard, Action: index - IP: ::1 - User: superadmin
