[2026-02-02 09:37:22] GET_PARAMS - Module: core, Controller: Auth, Action: login - IP: ::1 - User: Guest
[2026-02-02 09:37:37] ENCRYPTED_URL - Module: core, Controller: auth, Action: authenticate - IP: ::1 - User: Guest
[2026-02-02 09:37:38] ENCRYPTED_URL - Module: core, Controller: hub, Action: index - IP: ::1 - User: superadmin
[2026-02-02 09:37:43] ENCRYPTED_URL - Module: core, Controller: hub, Action: acceder - IP: ::1 - User: superadmin
[2026-02-02 09:37:43] ENCRYPTED_URL - Module: seguridad, Controller: dashboard, Action: index - IP: ::1 - User: superadmin
[2026-02-02 09:37:46] ENCRYPTED_URL - Module: seguridad, Controller: modulo, Action: index - IP: ::1 - User: superadmin
[2026-02-02 09:37:50] ENCRYPTED_URL - Module: seguridad, Controller: modulo, Action: editar - IP: ::1 - User: superadmin
[2026-02-02 09:37:58] ENCRYPTED_URL - Module: seguridad, Controller: tenant, Action: index - IP: ::1 - User: superadmin
[2026-02-02 09:38:02] ENCRYPTED_URL - Module: seguridad, Controller: tenant, Action: editar - IP: ::1 - User: superadmin
[2026-02-02 09:38:13] ENCRYPTED_URL - Module: seguridad, Controller: tenant, Action: actualizar - IP: ::1 - User: superadmin
[2026-02-02 09:38:13] ENCRYPTED_URL - Module: seguridad, Controller: tenant, Action: index - IP: ::1 - User: superadmin
[2026-02-02 09:38:16] ENCRYPTED_URL - Module: seguridad, Controller: tenant, Action: editar - IP: ::1 - User: superadmin
[2026-02-02 09:38:23] ENCRYPTED_URL - Module: seguridad, Controller: tenant, Action: actualizar - IP: ::1 - User: superadmin
[2026-02-02 09:38:23] ENCRYPTED_URL - Module: seguridad, Controller: tenant, Action: editar - IP: ::1 - User: superadmin
[2026-02-02 09:42:29] ENCRYPTED_URL - Module: seguridad, Controller: tenant, Action: editar - IP: ::1 - User: superadmin
[2026-02-02 09:42:32] ENCRYPTED_URL - Module: seguridad, Controller: tenant, Action: editar - IP: ::1 - User: superadmin
[2026-02-02 09:46:49] ENCRYPTED_URL - Module: seguridad, Controller: tenant, Action: editar - IP: ::1 - User: superadmin
[2026-02-02 09:47:42] ENCRYPTED_URL - Module: seguridad, Controller: tenant, Action: editar - IP: ::1 - User: superadmin
[2026-02-02 09:47:45] ENCRYPTED_URL - Module: seguridad, Controller: tenant, Action: editar - IP: ::1 - User: superadmin
[2026-02-02 09:49:00] ENCRYPTED_URL - Module: seguridad, Controller: tenant, Action: editar - IP: ::1 - User: superadmin
[2026-02-02 09:49:02] ENCRYPTED_URL - Module: seguridad, Controller: tenant, Action: editar - IP: ::1 - User: superadmin
[2026-02-02 09:49:27] ENCRYPTED_URL - Module: seguridad, Controller: tenant, Action: editar - IP: ::1 - User: superadmin
[2026-02-02 09:49:29] ENCRYPTED_URL - Module: seguridad, Controller: tenant, Action: editar - IP: ::1 - User: superadmin
[2026-02-02 09:49:43] ENCRYPTED_URL - Module: seguridad, Controller: modulo, Action: index - IP: ::1 - User: superadmin
[2026-02-02 09:49:48] ENCRYPTED_URL - Module: seguridad, Controller: modulo, Action: editar - IP: ::1 - User: superadmin
[2026-02-02 09:49:52] ENCRYPTED_URL - Module: seguridad, Controller: tenant, Action: editar - IP: ::1 - User: superadmin
[2026-02-02 09:50:10] ENCRYPTED_URL - Module: seguridad, Controller: tenant, Action: editar - IP: ::1 - User: superadmin
[2026-02-02 09:50:15] ENCRYPTED_URL - Module: seguridad, Controller: tenant, Action: editar - IP: ::1 - User: superadmin
