[2026-01-31 18:33:45] GET_PARAMS - Module: core, Controller: Auth, Action: login - IP: ::1 - User: Guest
[2026-01-31 18:33:50] ENCRYPTED_URL - Module: core, Controller: error, Action: show - IP: ::1 - User: Guest
[2026-01-31 18:33:59] ENCRYPTED_URL - Module: core, Controller: auth, Action: login - IP: ::1 - User: Guest
[2026-01-31 18:34:19] ENCRYPTED_URL - Module: core, Controller: auth, Action: authenticate - IP: ::1 - User: Guest
[2026-01-31 18:34:20] ENCRYPTED_URL - Module: core, Controller: hub, Action: index - IP: ::1 - User: superadmin
[2026-01-31 18:34:59] ENCRYPTED_URL - Module: core, Controller: hub, Action: acceder - IP: ::1 - User: superadmin
[2026-01-31 18:35:00] ENCRYPTED_URL - Module: futbol, Controller: dashboard, Action: index - IP: ::1 - User: superadmin
[2026-01-31 18:35:05] ENCRYPTED_URL - Module: core, Controller: hub, Action: index - IP: ::1 - User: superadmin
[2026-01-31 18:36:13] ENCRYPTED_URL - Module: core, Controller: auth, Action: authenticate - IP: ::1 - User: superadmin
[2026-01-31 18:36:14] ENCRYPTED_URL - Module: core, Controller: hub, Action: index - IP: ::1 - User: superadmin
[2026-01-31 18:38:01] ENCRYPTED_URL - Module: core, Controller: hub, Action: acceder - IP: ::1 - User: superadmin
[2026-01-31 18:38:01] ENCRYPTED_URL - Module: store, Controller: dashboard, Action: index - IP: ::1 - User: superadmin
[2026-01-31 18:38:03] ENCRYPTED_URL - Module: core, Controller: hub, Action: index - IP: ::1 - User: superadmin
[2026-01-31 19:29:35] GET_PARAMS - Module: core, Controller: Auth, Action: login - IP: ::1 - User: Guest
[2026-01-31 19:29:51] ENCRYPTED_URL - Module: core, Controller: auth, Action: authenticate - IP: ::1 - User: Guest
[2026-01-31 19:29:52] ENCRYPTED_URL - Module: core, Controller: hub, Action: index - IP: ::1 - User: superadmin
[2026-01-31 19:33:52] ENCRYPTED_URL - Module: core, Controller: hub, Action: acceder - IP: ::1 - User: superadmin
[2026-01-31 19:33:52] ENCRYPTED_URL - Module: instalaciones, Controller: cancha, Action: index - IP: ::1 - User: superadmin
[2026-01-31 19:33:55] ENCRYPTED_URL - Module: instalaciones, Controller: cancha, Action: index - IP: ::1 - User: superadmin
[2026-01-31 19:34:38] ENCRYPTED_URL - Module: instalaciones, Controller: cancha, Action: index - IP: ::1 - User: superadmin
[2026-01-31 19:34:41] ENCRYPTED_URL - Module: core, Controller: hub, Action: index - IP: ::1 - User: superadmin
[2026-01-31 19:40:22] ENCRYPTED_URL - Module: core, Controller: hub, Action: index - IP: ::1 - User: superadmin
[2026-01-31 19:40:26] ENCRYPTED_URL - Module: core, Controller: hub, Action: acceder - IP: ::1 - User: superadmin
[2026-01-31 19:40:26] ENCRYPTED_URL - Module: instalaciones, Controller: cancha, Action: index - IP: ::1 - User: superadmin
[2026-01-31 19:40:31] ENCRYPTED_URL - Module: core, Controller: hub, Action: acceder - IP: ::1 - User: superadmin
[2026-01-31 19:40:31] ENCRYPTED_URL - Module: reservas, Controller: reserva, Action: index - IP: ::1 - User: superadmin
[2026-01-31 20:41:38] GET_PARAMS - Module: core, Controller: Auth, Action: login - IP: ::1 - User: Guest
[2026-01-31 20:41:51] ENCRYPTED_URL - Module: core, Controller: auth, Action: authenticate - IP: ::1 - User: Guest
[2026-01-31 20:41:51] ENCRYPTED_URL - Module: core, Controller: hub, Action: index - IP: ::1 - User: superadmin
[2026-01-31 20:41:56] ENCRYPTED_URL - Module: core, Controller: hub, Action: acceder - IP: ::1 - User: superadmin
[2026-01-31 20:41:56] ENCRYPTED_URL - Module: seguridad, Controller: dashboard, Action: index - IP: ::1 - User: superadmin
[2026-01-31 20:41:59] ENCRYPTED_URL - Module: seguridad, Controller: modulo, Action: index - IP: ::1 - User: superadmin
[2026-01-31 20:42:05] ENCRYPTED_URL - Module: seguridad, Controller: modulo, Action: editar - IP: ::1 - User: superadmin
[2026-01-31 20:42:22] ENCRYPTED_URL - Module: seguridad, Controller: modulo, Action: editar - IP: ::1 - User: superadmin
[2026-01-31 20:42:23] ENCRYPTED_URL - Module: seguridad, Controller: modulo, Action: index - IP: ::1 - User: superadmin
