[2026-02-03 08:49:13] ENCRYPTED_URL - Module: seguridad, Controller: modulo, Action: index - IP: ::1 - User: superadmin
[2026-02-03 09:54:32] ENCRYPTED_URL - Module: seguridad, Controller: modulo, Action: index - IP: ::1 - User: superadmin
[2026-02-03 10:00:08] ENCRYPTED_URL - Module: seguridad, Controller: modulo, Action: index - IP: ::1 - User: superadmin
[2026-02-03 10:26:04] ENCRYPTED_URL - Module: core, Controller: hub, Action: index - IP: ::1 - User: superadmin
[2026-02-03 10:26:06] ENCRYPTED_URL - Module: core, Controller: auth, Action: logout - IP: ::1 - User: superadmin
[2026-02-03 10:26:07] ENCRYPTED_URL - Module: core, Controller: auth, Action: login - IP: ::1 - User: Guest
[2026-02-03 10:46:03] ENCRYPTED_URL - Module: core, Controller: auth, Action: login - IP: ::1 - User: Guest
[2026-02-03 10:56:42] ENCRYPTED_URL - Module: core, Controller: auth, Action: authenticate - IP: ::1 - User: Guest
[2026-02-03 10:56:43] ENCRYPTED_URL - Module: core, Controller: hub, Action: index - IP: ::1 - User: superadmin
[2026-02-03 11:06:23] ENCRYPTED_URL - Module: core, Controller: hub, Action: acceder - IP: ::1 - User: superadmin
[2026-02-03 11:06:24] ENCRYPTED_URL - Module: seguridad, Controller: dashboard, Action: index - IP: ::1 - User: superadmin
[2026-02-03 11:06:27] ENCRYPTED_URL - Module: seguridad, Controller: modulo, Action: index - IP: ::1 - User: superadmin
[2026-02-03 15:10:01] GET_PARAMS - Module: core, Controller: Auth, Action: login - IP: ::1 - User: Guest
[2026-02-03 15:10:05] ENCRYPTED_URL - Module: seguridad, Controller: modulo, Action: index - IP: ::1 - User: Guest
[2026-02-03 15:10:07] ENCRYPTED_URL - Module: seguridad, Controller: dashboard, Action: index - IP: ::1 - User: Guest
[2026-02-03 15:33:20] ENCRYPTED_URL - Module: core, Controller: auth, Action: login - IP: ::1 - User: Guest
[2026-02-03 15:33:35] ENCRYPTED_URL - Module: core, Controller: auth, Action: authenticate - IP: ::1 - User: Guest
[2026-02-03 15:33:35] ENCRYPTED_URL - Module: core, Controller: auth, Action: login - IP: ::1 - User: Guest
[2026-02-03 15:33:46] ENCRYPTED_URL - Module: core, Controller: auth, Action: authenticate - IP: ::1 - User: Guest
[2026-02-03 15:33:46] ENCRYPTED_URL - Module: core, Controller: hub, Action: index - IP: ::1 - User: superadmin
[2026-02-03 15:33:51] ENCRYPTED_URL - Module: core, Controller: hub, Action: acceder - IP: ::1 - User: superadmin
[2026-02-03 15:33:51] ENCRYPTED_URL - Module: core, Controller: hub, Action: index - IP: ::1 - User: superadmin
[2026-02-03 15:33:54] ENCRYPTED_URL - Module: core, Controller: hub, Action: acceder - IP: ::1 - User: superadmin
[2026-02-03 15:33:54] ENCRYPTED_URL - Module: futbol, Controller: dashboard, Action: index - IP: ::1 - User: superadmin
[2026-02-03 15:33:56] ENCRYPTED_URL - Module: core, Controller: hub, Action: index - IP: ::1 - User: superadmin
[2026-02-03 15:34:00] ENCRYPTED_URL - Module: core, Controller: hub, Action: acceder - IP: ::1 - User: superadmin
[2026-02-03 15:34:01] ENCRYPTED_URL - Module: seguridad, Controller: dashboard, Action: index - IP: ::1 - User: superadmin
[2026-02-03 15:34:17] ENCRYPTED_URL - Module: seguridad, Controller: rol, Action: index - IP: ::1 - User: superadmin
[2026-02-03 15:34:25] ENCRYPTED_URL - Module: seguridad, Controller: rol, Action: permisos - IP: ::1 - User: superadmin
[2026-02-03 15:34:34] ENCRYPTED_URL - Module: seguridad, Controller: rol, Action: index - IP: ::1 - User: superadmin
[2026-02-03 15:34:39] ENCRYPTED_URL - Module: seguridad, Controller: modulo, Action: index - IP: ::1 - User: superadmin
[2026-02-03 15:34:46] ENCRYPTED_URL - Module: seguridad, Controller: rol, Action: index - IP: ::1 - User: superadmin
[2026-02-03 15:34:49] ENCRYPTED_URL - Module: seguridad, Controller: rol, Action: index - IP: ::1 - User: superadmin
[2026-02-03 15:34:50] ENCRYPTED_URL - Module: seguridad, Controller: tenant, Action: index - IP: ::1 - User: superadmin
[2026-02-03 15:35:00] ENCRYPTED_URL - Module: seguridad, Controller: rol, Action: permisos - IP: ::1 - User: superadmin
[2026-02-03 15:35:05] ENCRYPTED_URL - Module: seguridad, Controller: rol, Action: index - IP: ::1 - User: superadmin
[2026-02-03 15:35:15] ENCRYPTED_URL - Module: seguridad, Controller: rol, Action: crear - IP: ::1 - User: superadmin
[2026-02-03 15:35:19] ENCRYPTED_URL - Module: seguridad, Controller: rol, Action: editar - IP: ::1 - User: superadmin
[2026-02-03 15:35:20] ENCRYPTED_URL - Module: seguridad, Controller: rol, Action: index - IP: ::1 - User: superadmin
[2026-02-03 15:35:33] ENCRYPTED_URL - Module: seguridad, Controller: rol, Action: crear - IP: ::1 - User: superadmin
[2026-02-03 15:35:34] ENCRYPTED_URL - Module: seguridad, Controller: rol, Action: editar - IP: ::1 - User: superadmin
[2026-02-03 15:35:35] ENCRYPTED_URL - Module: seguridad, Controller: rol, Action: index - IP: ::1 - User: superadmin
[2026-02-03 15:35:36] ENCRYPTED_URL - Module: seguridad, Controller: rol, Action: permisos - IP: ::1 - User: superadmin
[2026-02-03 15:35:43] ENCRYPTED_URL - Module: seguridad, Controller: auditoria, Action: accesos - IP: ::1 - User: superadmin
[2026-02-03 15:35:50] ENCRYPTED_URL - Module: seguridad, Controller: rol, Action: permisos - IP: ::1 - User: superadmin
[2026-02-03 15:37:15] ENCRYPTED_URL - Module: seguridad, Controller: rol, Action: index - IP: ::1 - User: superadmin
[2026-02-03 15:37:18] ENCRYPTED_URL - Module: seguridad, Controller: dashboard, Action: index - IP: ::1 - User: superadmin
[2026-02-03 15:37:22] ENCRYPTED_URL - Module: seguridad, Controller: tenant, Action: index - IP: ::1 - User: superadmin
[2026-02-03 15:37:27] ENCRYPTED_URL - Module: seguridad, Controller: rol, Action: index - IP: ::1 - User: superadmin
[2026-02-03 15:40:41] ENCRYPTED_URL - Module: seguridad, Controller: rol, Action: permisos - IP: ::1 - User: superadmin
[2026-02-03 15:41:37] ENCRYPTED_URL - Module: seguridad, Controller: rol, Action: permisos - IP: ::1 - User: superadmin
[2026-02-03 15:42:40] ENCRYPTED_URL - Module: seguridad, Controller: rol, Action: permisos - IP: ::1 - User: superadmin
[2026-02-03 15:43:52] ENCRYPTED_URL - Module: seguridad, Controller: rol, Action: permisos - IP: ::1 - User: superadmin
