[2026-02-01 00:29:28] GET_PARAMS - Module: core, Controller: Auth, Action: login - IP: ::1 - User: Guest
[2026-02-01 00:29:39] ENCRYPTED_URL - Module: core, Controller: auth, Action: authenticate - IP: ::1 - User: Guest
[2026-02-01 00:29:39] ENCRYPTED_URL - Module: core, Controller: hub, Action: index - IP: ::1 - User: superadmin
[2026-02-01 00:29:52] ENCRYPTED_URL - Module: core, Controller: hub, Action: acceder - IP: ::1 - User: superadmin
[2026-02-01 00:29:53] ENCRYPTED_URL - Module: core, Controller: hub, Action: index - IP: ::1 - User: superadmin
[2026-02-01 00:30:54] ENCRYPTED_URL - Module: core, Controller: hub, Action: acceder - IP: ::1 - User: superadmin
[2026-02-01 00:30:55] ENCRYPTED_URL - Module: core, Controller: hub, Action: index - IP: ::1 - User: superadmin
[2026-02-01 00:31:34] ENCRYPTED_URL - Module: core, Controller: hub, Action: acceder - IP: ::1 - User: superadmin
[2026-02-01 00:31:35] ENCRYPTED_URL - Module: instalaciones, Controller: cancha, Action: index - IP: ::1 - User: superadmin
[2026-02-01 00:39:50] ENCRYPTED_URL - Module: core, Controller: hub, Action: index - IP: ::1 - User: superadmin
[2026-02-01 00:39:55] ENCRYPTED_URL - Module: core, Controller: hub, Action: acceder - IP: ::1 - User: superadmin
[2026-02-01 00:39:55] ENCRYPTED_URL - Module: seguridad, Controller: dashboard, Action: index - IP: ::1 - User: superadmin
[2026-02-01 00:39:59] ENCRYPTED_URL - Module: seguridad, Controller: modulo, Action: index - IP: ::1 - User: superadmin
[2026-02-01 00:41:02] ENCRYPTED_URL - Module: seguridad, Controller: asignacion, Action: modulos - IP: ::1 - User: superadmin
[2026-02-01 00:41:48] ENCRYPTED_URL - Module: seguridad, Controller: asignacion, Action: guardarModulos - IP: ::1 - User: superadmin
[2026-02-01 19:54:23] GET_PARAMS - Module: core, Controller: Auth, Action: login - IP: ::1 - User: Guest
[2026-02-01 21:03:58] GET_PARAMS - Module: core, Controller: Auth, Action: login - IP: ::1 - User: Guest
[2026-02-01 21:04:12] ENCRYPTED_URL - Module: core, Controller: auth, Action: authenticate - IP: ::1 - User: Guest
[2026-02-01 21:04:13] ENCRYPTED_URL - Module: core, Controller: hub, Action: index - IP: ::1 - User: superadmin
[2026-02-01 21:04:20] ENCRYPTED_URL - Module: core, Controller: hub, Action: acceder - IP: ::1 - User: superadmin
[2026-02-01 21:04:20] ENCRYPTED_URL - Module: seguridad, Controller: dashboard, Action: index - IP: ::1 - User: superadmin
[2026-02-01 21:04:24] ENCRYPTED_URL - Module: seguridad, Controller: modulo, Action: index - IP: ::1 - User: superadmin
[2026-02-01 21:04:28] ENCRYPTED_URL - Module: seguridad, Controller: asignacion, Action: modulos - IP: ::1 - User: superadmin
[2026-02-01 21:05:37] ENCRYPTED_URL - Module: seguridad, Controller: asignacion, Action: modulos - IP: ::1 - User: superadmin
[2026-02-01 21:05:40] ENCRYPTED_URL - Module: seguridad, Controller: asignacion, Action: modulos - IP: ::1 - User: superadmin
[2026-02-01 21:05:45] ENCRYPTED_URL - Module: seguridad, Controller: asignacion, Action: modulos - IP: ::1 - User: superadmin
[2026-02-01 21:05:53] ENCRYPTED_URL - Module: seguridad, Controller: asignacion, Action: modulos - IP: ::1 - User: superadmin
[2026-02-01 21:05:57] ENCRYPTED_URL - Module: seguridad, Controller: asignacion, Action: modulos - IP: ::1 - User: superadmin
[2026-02-01 21:06:05] ENCRYPTED_URL - Module: seguridad, Controller: tenant, Action: index - IP: ::1 - User: superadmin
[2026-02-01 21:06:08] ENCRYPTED_URL - Module: seguridad, Controller: tenant, Action: index - IP: ::1 - User: superadmin
[2026-02-01 21:06:25] ENCRYPTED_URL - Module: seguridad, Controller: tenant, Action: editar - IP: ::1 - User: superadmin
[2026-02-01 21:06:42] ENCRYPTED_URL - Module: seguridad, Controller: tenant, Action: actualizar - IP: ::1 - User: superadmin
[2026-02-01 21:06:42] ENCRYPTED_URL - Module: seguridad, Controller: tenant, Action: editar - IP: ::1 - User: superadmin
[2026-02-01 21:06:49] ENCRYPTED_URL - Module: seguridad, Controller: tenant, Action: actualizar - IP: ::1 - User: superadmin
[2026-02-01 21:06:50] ENCRYPTED_URL - Module: seguridad, Controller: tenant, Action: editar - IP: ::1 - User: superadmin
[2026-02-01 22:30:25] GET_PARAMS - Module: core, Controller: Auth, Action: login - IP: ::1 - User: Guest
[2026-02-01 22:30:45] ENCRYPTED_URL - Module: core, Controller: auth, Action: authenticate - IP: ::1 - User: Guest
[2026-02-01 22:30:46] ENCRYPTED_URL - Module: core, Controller: hub, Action: index - IP: ::1 - User: superadmin
[2026-02-01 22:30:57] ENCRYPTED_URL - Module: core, Controller: hub, Action: acceder - IP: ::1 - User: superadmin
[2026-02-01 22:30:58] ENCRYPTED_URL - Module: core, Controller: hub, Action: index - IP: ::1 - User: superadmin
[2026-02-01 22:31:03] ENCRYPTED_URL - Module: core, Controller: hub, Action: acceder - IP: ::1 - User: superadmin
[2026-02-01 22:31:03] ENCRYPTED_URL - Module: core, Controller: hub, Action: index - IP: ::1 - User: superadmin
[2026-02-01 22:31:07] ENCRYPTED_URL - Module: core, Controller: hub, Action: acceder - IP: ::1 - User: superadmin
[2026-02-01 22:31:08] ENCRYPTED_URL - Module: core, Controller: hub, Action: index - IP: ::1 - User: superadmin
[2026-02-01 22:31:11] ENCRYPTED_URL - Module: core, Controller: hub, Action: acceder - IP: ::1 - User: superadmin
[2026-02-01 22:31:11] ENCRYPTED_URL - Module: seguridad, Controller: dashboard, Action: index - IP: ::1 - User: superadmin
[2026-02-01 22:31:14] ENCRYPTED_URL - Module: seguridad, Controller: modulo, Action: index - IP: ::1 - User: superadmin
[2026-02-01 22:31:29] ENCRYPTED_URL - Module: seguridad, Controller: tenant, Action: index - IP: ::1 - User: superadmin
[2026-02-01 22:31:32] ENCRYPTED_URL - Module: seguridad, Controller: tenant, Action: editar - IP: ::1 - User: superadmin
[2026-02-01 22:32:17] ENCRYPTED_URL - Module: core, Controller: hub, Action: index - IP: ::1 - User: superadmin
[2026-02-01 22:32:20] ENCRYPTED_URL - Module: core, Controller: hub, Action: acceder - IP: ::1 - User: superadmin
[2026-02-01 22:32:21] ENCRYPTED_URL - Module: core, Controller: hub, Action: index - IP: ::1 - User: superadmin
[2026-02-01 22:32:23] ENCRYPTED_URL - Module: core, Controller: hub, Action: acceder - IP: ::1 - User: superadmin
[2026-02-01 22:32:24] ENCRYPTED_URL - Module: core, Controller: hub, Action: index - IP: ::1 - User: superadmin
[2026-02-01 22:32:26] ENCRYPTED_URL - Module: core, Controller: hub, Action: acceder - IP: ::1 - User: superadmin
[2026-02-01 22:32:26] ENCRYPTED_URL - Module: reportes, Controller: kpi, Action: index - IP: ::1 - User: superadmin
[2026-02-01 22:32:29] ENCRYPTED_URL - Module: core, Controller: hub, Action: index - IP: ::1 - User: superadmin
[2026-02-01 22:32:33] ENCRYPTED_URL - Module: core, Controller: hub, Action: acceder - IP: ::1 - User: superadmin
[2026-02-01 22:32:33] ENCRYPTED_URL - Module: core, Controller: hub, Action: index - IP: ::1 - User: superadmin
[2026-02-01 22:32:37] ENCRYPTED_URL - Module: core, Controller: hub, Action: acceder - IP: ::1 - User: superadmin
